supermercado,categoria,item,valor,data_postagem,link,post_url
Bom Jesus Primavera do Leste 🛒,Bazar / Eletro,Copo Drink Aruba Cinza 475ml,7.49,28/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/788860531_18374942995237813_624644092953609674_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzk3Mzk3Nzc4MjEzMTM5MTcwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=7IsixMbzdvIQ7kNvwFBEauc&_nc_oc=AdpH9K1QTD1BKoyG8uMa-8FTcfyQYSoEGIeCTBwl-_lQqMaQys9Z6l54LhOSWgvo7OM&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=jRI1dTb-zr9XSjXpQtgHvg&_nc_ss=7a22e&oh=00_AQLoVcKI7wLGY4VuJ1H2Nra6N-LzPXIYCLT1m60p2y_BjA&oe=6A9B994B,https://www.instagram.com/p/DcmZ8cDD400/
Super Compras Supermercado,Bazar / Eletro,Churrasqueira,599.99,29/08/2026,https://scontent-icn2-1.cdninstagram.com/v/t51.82787-15/789652349_18192946324391764_294674980305459178_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzk3NDQxNzU0MDcwNDUzNTg2NDE4MTkyOTQ2MzE4MzkxNzY0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjk2MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=VztOZX0SUbIQ7kNvwHDBo_n&_nc_oc=Adrp6qso3SvpMibaP6yqT6Q7NH3a_1RMQpPPTrklVJLu_HSnR8kopnzht8G5DhHi5Mc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-icn2-1.cdninstagram.com&_nc_gid=ByVVfgagLx0CYvMwgYjalQ&_nc_ss=7a22e&oh=00_AQK4d9gCNT8PyFCSFf_yUwXqHmk0tbR1U6dgnhFd0v-ygA&oe=6A9B705D,https://www.instagram.com/p/Dcn97ImxoU4/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum de Tratamento Dove 110ml,29.9,27/08/2026,https://scontent-waw2-2.cdninstagram.com/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMiJ9&_nc_ohc=wXQuivYivwoQ7kNvwF5p2cf&_nc_oc=Adp3MSbyZehCFwdta6zm_tXItUO2pegdDIvgfFlHWTKABO666j2qAdtrqjyj5LhrRQw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-waw2-2.cdninstagram.com&_nc_gid=7Km_DVQKuLCEV1bZQdj17Q&_nc_ss=7a22e&oh=00_AQK5367QoveN8qbXyMCLvHnuYZq_N4YPlwy-xmxEobdwdA&oe=6A9B8EEE,https://www.instagram.com/p/DcivkuqOXSF/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Elseve 100ml,29.99,27/08/2026,https://scontent-waw2-2.cdninstagram.com/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMiJ9&_nc_ohc=wXQuivYivwoQ7kNvwF5p2cf&_nc_oc=Adp3MSbyZehCFwdta6zm_tXItUO2pegdDIvgfFlHWTKABO666j2qAdtrqjyj5LhrRQw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-waw2-2.cdninstagram.com&_nc_gid=7Km_DVQKuLCEV1bZQdj17Q&_nc_ss=7a22e&oh=00_AQK5367QoveN8qbXyMCLvHnuYZq_N4YPlwy-xmxEobdwdA&oe=6A9B8EEE,https://www.instagram.com/p/DcivkuqOXSF/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Facial Garnier Vitamina C 100ml,36.99,27/08/2026,https://scontent-waw2-2.cdninstagram.com/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMiJ9&_nc_ohc=wXQuivYivwoQ7kNvwF5p2cf&_nc_oc=Adp3MSbyZehCFwdta6zm_tXItUO2pegdDIvgfFlHWTKABO666j2qAdtrqjyj5LhrRQw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-waw2-2.cdninstagram.com&_nc_gid=7Km_DVQKuLCEV1bZQdj17Q&_nc_ss=7a22e&oh=00_AQK5367QoveN8qbXyMCLvHnuYZq_N4YPlwy-xmxEobdwdA&oe=6A9B8EEE,https://www.instagram.com/p/DcivkuqOXSF/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Whisky White Horse 1L,84.9,28/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/788139857_18374943016237813_6095318216715939563_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3Mzk3Nzc4MDcyMjI3NDY1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=u6RrkwcH62kQ7kNvwFsd-0U&_nc_oc=Adpihwj10u-gtE9AOlNelJ7Pcs9mJp3py1SUNkxTBlx8SqXy80_pAqE-gfvACtUV5D4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=jRI1dTb-zr9XSjXpQtgHvg&_nc_ss=7a22e&oh=00_AQLioGgANVH1b_knfNEaQmt0mGjOFnOW8HWM1x1i8W9mOA&oe=6A9B9730,https://www.instagram.com/p/DcmZ8cDD400/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Whisky Old Parr 12 Anos 1L,179.9,28/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/788139857_18374943016237813_6095318216715939563_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3Mzk3Nzc4MDcyMjI3NDY1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=u6RrkwcH62kQ7kNvwFsd-0U&_nc_oc=Adpihwj10u-gtE9AOlNelJ7Pcs9mJp3py1SUNkxTBlx8SqXy80_pAqE-gfvACtUV5D4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=jRI1dTb-zr9XSjXpQtgHvg&_nc_ss=7a22e&oh=00_AQLioGgANVH1b_knfNEaQmt0mGjOFnOW8HWM1x1i8W9mOA&oe=6A9B9730,https://www.instagram.com/p/DcmZ8cDD400/
Supermercado Tuiuiú,Bebidas / Cervejas,Cerveja Skol 300ml,2.49,28/08/2026,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/782169173_1720016753465476_6179349585647048120_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzk3MzM0Mjg3OTMwMjI3OTYzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI1NC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=qPA3dbH0piIQ7kNvwHdilKP&_nc_oc=Adrg7OV-FhkW4k87FvxqV5FywCNfQ0ctsfY8AA-PPV-h3wy-Vt1ARbHfm6By8nRrMKg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=bmLXXYJOFClGMwHlmUZfvA&_nc_ss=7a22e&oh=00_AQKP9JvhMIGnX8LdqLjfbDdBZaBFG8FWhudOrdVl35eaSg&oe=6A9B9661,https://www.instagram.com/p/DckJlYyI3Tu/
Supermercado Tuiuiú,Bebidas / Cervejas,Cerveja Brahma 300ml,2.49,28/08/2026,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/782169173_1720016753465476_6179349585647048120_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzk3MzM0Mjg3OTMwMjI3OTYzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI1NC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=qPA3dbH0piIQ7kNvwHdilKP&_nc_oc=Adrg7OV-FhkW4k87FvxqV5FywCNfQ0ctsfY8AA-PPV-h3wy-Vt1ARbHfm6By8nRrMKg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=bmLXXYJOFClGMwHlmUZfvA&_nc_ss=7a22e&oh=00_AQKP9JvhMIGnX8LdqLjfbDdBZaBFG8FWhudOrdVl35eaSg&oe=6A9B9661,https://www.instagram.com/p/DckJlYyI3Tu/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Skol Retornável 300ml,2.49,29/08/2026,https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/787666404_18192892456391764_5631571009347207340_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3NDAxMjM2OTYxNzUwODE0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=YdVhHFKNO3AQ7kNvwHa8z1e&_nc_oc=AdpwMGnhVvWlN041QaQfsDzOqy-hV5b_Ifhj3ffDMCi2Xp_Hp5pbZkEgmtbUMjszaac&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=XE-WXNcIBrbBoDtt9F1rqg&_nc_ss=7a22e&oh=00_AQKpCS2P_ZDziG0QrqLwUOjOjF5ZrMbh1TYldsCI8elq9g&oe=6A9BA3DA,https://www.instagram.com/p/DcmhzwZjQj_/
