supermercado,categoria,item,valor,data_postagem,link,post_url
Bom Jesus Primavera do Leste 🛒,Bazar / Eletro,Copo Drink Aruba Cinza 475ml,7.49,28/08/2026,https://scontent-mxp1-1.cdninstagram.com/v/t51.82787-15/788860531_18374942995237813_624644092953609674_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzk3Mzk3Nzc4MjEzMTM5MTcwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=7IsixMbzdvIQ7kNvwFLr1IY&_nc_oc=AdrQMI6TD_X8w6y4rLquClq6yJmmEdOGtMhzEN4tBiP2x83SnaxNlcn35DJEvjd1cXA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_gid=2W0u87jjP_IT_10skYXvyg&_nc_ss=7a22e&oh=00_AQKmZVQHrk7uaq12CSeJmfTXqPmLQnSIiQD_VhgIJBu7DQ&oe=6A98BE0B,https://www.instagram.com/p/DcmZ8cDD400/
Machadão Atacadista,Bazar / Eletro,Pote Tramontina Mix Color 600ml,10.9,27/08/2026,https://instagram.ftgz2-1.fna.fbcdn.net/v/t39.30808-6/786779086_1360550472831577_8028710268323392841_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MjI0MjcxMDI2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=WKCTmqyswmsQ7kNvwGCsa28&_nc_oc=AdpK61pp0haF8dqWH096dETR7NlNKPsj_Ew1wmNhtIGkxwJw7M6U6SVRpDabhOt4lHl1lwmHiYtGTayRGkwFrDVJ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftgz2-1.fna&_nc_gid=8C1vo79zooRdEKD2fcIVwA&_nc_ss=7a22e&oh=00_AQLHXftmWxzuWH5cpZUrdcg3xeUGaKeB02DvXB8OwZeY6w&oe=6A98E0AF,https://www.instagram.com/p/DcjfMcbkgCV/
Machadão Atacadista,Bazar / Eletro,Pote Tramontina Mix Color 600ml,10.9,27/08/2026,https://instagram.ftgz2-1.fna.fbcdn.net/v/t39.30808-6/786141071_1360550506164907_1343288441209680541_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MjAxNjIzNDQ4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=rAfVUo0mg-MQ7kNvwGBDKPC&_nc_oc=AdrBCVHPFQe5gEaTM4K6__GqWWoU9Ty9eLyb0b5MgP1yktN7u871woLg1I9BYAdXIlDJYbjJYvmhJlZLmxVBf_a5&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftgz2-1.fna&_nc_gid=8C1vo79zooRdEKD2fcIVwA&_nc_ss=7a22e&oh=00_AQLqSQQQQxQlJSzp_4RkHaaJEKvBfXedUep-eAX5SmuTNQ&oe=6A98B579,https://www.instagram.com/p/DcjfMcbkgCV/
Super Compras Supermercado,Bazar / Eletro,Churrasqueira,599.99,29/08/2026,https://scontent-ber1-1.cdninstagram.com/v/t51.82787-15/789652349_18192946324391764_294674980305459178_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzk3NDQxNzU0MDcwNDUzNTg2NDE4MTkyOTQ2MzE4MzkxNzY0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjk2MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=VztOZX0SUbIQ7kNvwFLKAqZ&_nc_oc=AdqDOwjYqWuSOFst-ZSJ6GFVTazwb0GEMZZY5z1TwFMrYnF_AoSJOfsFI-vwK4cOyf8&_nc_ad=z-m&_nc_cid=1365&_nc_zt=23&_nc_ht=scontent-ber1-1.cdninstagram.com&_nc_gid=USMmi6jQsvy-WfAgICg26Q&_nc_ss=7a22e&oh=00_AQIfnA_yedmqI62odl-3VaK3hxtbX7xh7a9ml8L64vjyrg&oe=6A98CD5D,https://www.instagram.com/p/Dcn97ImxoU4/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum de Tratamento Dove 110ml,29.9,27/08/2026,https://instagram.fmvf1-1.fna.fbcdn.net/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TDgSfUoaAVwQ7kNvwEIJG_n&_nc_oc=AdrLqbORTF-nJ5wfhBLkA9D5VQaEh2wRkssjfKkPN0Y2aywVg5Dy_h1LoZ4J8duBg1w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fmvf1-1.fna&_nc_gid=98vsvuSaWIRegx6I2u2_8A&_nc_ss=7a22e&oh=00_AQIEBiGdKNmXetGcSi-tia6htcw973dmzm-cYh3g2tDnmw&oe=6A98B3AE,https://www.instagram.com/p/DcivkuqOXSF/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Elseve 100ml,29.99,27/08/2026,https://instagram.fmvf1-1.fna.fbcdn.net/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TDgSfUoaAVwQ7kNvwEIJG_n&_nc_oc=AdrLqbORTF-nJ5wfhBLkA9D5VQaEh2wRkssjfKkPN0Y2aywVg5Dy_h1LoZ4J8duBg1w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fmvf1-1.fna&_nc_gid=98vsvuSaWIRegx6I2u2_8A&_nc_ss=7a22e&oh=00_AQIEBiGdKNmXetGcSi-tia6htcw973dmzm-cYh3g2tDnmw&oe=6A98B3AE,https://www.instagram.com/p/DcivkuqOXSF/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Casal Mendes 750ml,35.9,25/08/2026,https://instagram.fein1-2.fna.fbcdn.net/v/t39.30808-6/786543128_1358645369688754_2779017979935584164_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk3MTUyNDg5NTIzNDEwNDA4Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=fkD66OU_vJ8Q7kNvwE5vvQ9&_nc_oc=AdqeEOwEMhDQKE6AQjXN76ofQneqYaAyD5EATiFCUyuCeY39m5crwQtkZKNuUSU1Sgs&_nc_ad=z-m&_nc_cid=1207&_nc_zt=23&_nc_ht=instagram.fein1-2.fna&_nc_gid=NhetOI29J2yoTRQ2V38LbQ&_nc_ss=7a22e&oh=00_AQJDR2iSSXmG_pdffRjUCfCQB4TX_zYP7PgdGFxKpN1MDg&oe=6A98CDC4,https://www.instagram.com/p/DcdsNxKDBTG/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Casal Mendes Sweet 750ml,35.9,25/08/2026,https://instagram.fein1-2.fna.fbcdn.net/v/t39.30808-6/785059096_1358646486355309_4355252955160182464_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3MTUyNDg5Njc4NTk1NzI2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=7xcost5b2JkQ7kNvwGRnKAh&_nc_oc=Adr6LqKYUqvr-aBPjGkkwKovi3pXvPATEa8TVsUbwMdoOmnC7ShRwjZFJ_mDOOJmpTE&_nc_ad=z-m&_nc_cid=1207&_nc_zt=23&_nc_ht=instagram.fein1-2.fna&_nc_gid=NhetOI29J2yoTRQ2V38LbQ&_nc_ss=7a22e&oh=00_AQKXls8m4JkM1ajrNyuZiIdsWs9FVMO3GnXESIlwTc7uhw&oe=6A98DB81,https://www.instagram.com/p/DcdsNxKDBTG/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Facial Garnier Vitamina C 100ml,36.99,27/08/2026,https://instagram.fmvf1-1.fna.fbcdn.net/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TDgSfUoaAVwQ7kNvwEIJG_n&_nc_oc=AdrLqbORTF-nJ5wfhBLkA9D5VQaEh2wRkssjfKkPN0Y2aywVg5Dy_h1LoZ4J8duBg1w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fmvf1-1.fna&_nc_gid=98vsvuSaWIRegx6I2u2_8A&_nc_ss=7a22e&oh=00_AQIEBiGdKNmXetGcSi-tia6htcw973dmzm-cYh3g2tDnmw&oe=6A98B3AE,https://www.instagram.com/p/DcivkuqOXSF/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Whisky White Horse 1L,84.9,28/08/2026,https://scontent-mxp1-1.cdninstagram.com/v/t51.82787-15/788139857_18374943016237813_6095318216715939563_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3Mzk3Nzc4MDcyMjI3NDY1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=u6RrkwcH62kQ7kNvwFkF7r_&_nc_oc=AdoUTvqJuGAdFFjDPotrv9yNgv57jRXQEjcOx6SpH-f07qQV87CsRiUzN53sQaqDcqc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_gid=2W0u87jjP_IT_10skYXvyg&_nc_ss=7a22e&oh=00_AQKBt_pu4Ue0M_Xe2k7mZVRwaDl3p21ilOGbqB4oWu2lsg&oe=6A98BBF0,https://www.instagram.com/p/DcmZ8cDD400/
