supermercado,categoria,item,valor,data_postagem,link,post_url
SUPERMERCADO PARANAENSE,Bebidas / Alcoólicos Diversos,Milho Verde Fugini 170g,2.69,18/08/2026,https://instagram.fbcn15-1.fna.fbcdn.net/v/t51.82787-15/779201412_17905958076496981_6443721065028839968_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk2NjA3NDE1MTYyNzk1NjAwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=X7-fGJ3cyTUQ7kNvwHAmXH2&_nc_oc=AdosRII6nQbT_reMsilTtKghiDcv4w8iF0Wcp_irQ-Nol_iq2kSoFwZVNevQClJO0WM&_nc_zt=23&_nc_ht=instagram.fbcn15-1.fna&_nc_gid=CmZwXFojirTALIXoUXMO7A&_nc_ss=72a8c&oh=00_AQFcAVSBWAC55LkMefquTT5wtKObtalwB3dNssRwn3lsRg&oe=6A91FA14,https://www.instagram.com/p/DcKU22ApJ8k/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Ervilha Fugini 170g,2.79,20/08/2026,https://scontent-waw2-2.cdninstagram.com/v/t39.30808-6/775548688_1353980203488604_1662033817259096349_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk2NzUxNDUxMzI1OTY2NjE4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=P5B5cPwUwBEQ7kNvwFyJmX7&_nc_oc=AdoKBGmeIB0nx7S-jsG_PsN_PbfrbUj5RPaLrFf4jC-7vOoBuXM9EYfFXabIEzeKpi1YPCJ8UwP7caKpHkb5OEbG&_nc_zt=23&_nc_ht=scontent-waw2-2.cdninstagram.com&_nc_gid=TCTohav7JJwegkku5UEH4A&_nc_ss=7d689&oh=00_AQEGO_LrZLYrfb7LzlS_GoanDcaczhh-FNaaJRwE8-oRcw&oe=6A9201CF,https://www.instagram.com/p/DcPcXJfjBzY/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Ervilha Fugini 170g,2.79,20/08/2026,https://scontent-waw2-2.cdninstagram.com/v/t39.30808-6/775382457_1353980220155269_2009226448122347149_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk2NzUxNDUxMzU3ODM5NTQ2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=F4QLw9fMlnsQ7kNvwGYC8oo&_nc_oc=AdpbLw7b_mZbcNteltB2DlKPNAysOOQ0WM-gkc9C8VLGoL_7dQ8pyeQvILQjxqEb5_q8Gm-UgAPL_RhxTWUNBZn1&_nc_zt=23&_nc_ht=scontent-waw2-2.cdninstagram.com&_nc_gid=TCTohav7JJwegkku5UEH4A&_nc_ss=7d689&oh=00_AQH2WMhtcN_i8S6UUDomf1yCMcXXW1poPb2DTTxJ0imEPA&oe=6A91E7DC,https://www.instagram.com/p/DcPcXJfjBzY/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Cabeza de Piedra 750ml,24.99,20/08/2026,https://scontent-waw2-2.cdninstagram.com/v/t39.30808-6/775548688_1353980203488604_1662033817259096349_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk2NzUxNDUxMzI1OTY2NjE4NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=P5B5cPwUwBEQ7kNvwFyJmX7&_nc_oc=AdoKBGmeIB0nx7S-jsG_PsN_PbfrbUj5RPaLrFf4jC-7vOoBuXM9EYfFXabIEzeKpi1YPCJ8UwP7caKpHkb5OEbG&_nc_zt=23&_nc_ht=scontent-waw2-2.cdninstagram.com&_nc_gid=TCTohav7JJwegkku5UEH4A&_nc_ss=7d689&oh=00_AQEGO_LrZLYrfb7LzlS_GoanDcaczhh-FNaaJRwE8-oRcw&oe=6A9201CF,https://www.instagram.com/p/DcPcXJfjBzY/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Cabeza de Piedra 750ml,24.99,20/08/2026,https://scontent-waw2-2.cdninstagram.com/v/t39.30808-6/775382457_1353980220155269_2009226448122347149_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk2NzUxNDUxMzU3ODM5NTQ2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=F4QLw9fMlnsQ7kNvwGYC8oo&_nc_oc=AdpbLw7b_mZbcNteltB2DlKPNAysOOQ0WM-gkc9C8VLGoL_7dQ8pyeQvILQjxqEb5_q8Gm-UgAPL_RhxTWUNBZn1&_nc_zt=23&_nc_ht=scontent-waw2-2.cdninstagram.com&_nc_gid=TCTohav7JJwegkku5UEH4A&_nc_ss=7d689&oh=00_AQH2WMhtcN_i8S6UUDomf1yCMcXXW1poPb2DTTxJ0imEPA&oe=6A91E7DC,https://www.instagram.com/p/DcPcXJfjBzY/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Whisky White Horse 1L,84.9,21/08/2026,https://instagram.fhnd4-2.fna.fbcdn.net/v/t51.82787-15/779844446_18373759273237813_717042095228036520_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk2ODYwMzg2MjA2MzE4NjIyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=m8__0j7aHxEQ7kNvwHZCbD5&_nc_oc=Ado2-12p-PNSy_-K2ezm5yRNJtlscw4T7W1x9oCa2RnniXp8Tisb-qHYrDk7aGi1VwnPZ8RSTwAn4XKfo3Kg-Qg2&_nc_zt=23&_nc_ht=instagram.fhnd4-2.fna&_nc_gid=WTJWLLFJRKKk_JKC3VjF2w&_nc_ss=7c689&oh=00_AQEYuf2doMR78bfqGEBQfe-9vVkurmxuTKEXU8Z-KgZpng&oe=6A920670,https://www.instagram.com/p/DcTUD7jlm8n/
SUPERMERCADO PARANAENSE,Bebidas / Cervejas,Achocolatado Pirakids 200ml,1.49,18/08/2026,https://instagram.fbcn15-1.fna.fbcdn.net/v/t51.82787-15/779201412_17905958076496981_6443721065028839968_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk2NjA3NDE1MTYyNzk1NjAwNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=X7-fGJ3cyTUQ7kNvwHAmXH2&_nc_oc=AdosRII6nQbT_reMsilTtKghiDcv4w8iF0Wcp_irQ-Nol_iq2kSoFwZVNevQClJO0WM&_nc_zt=23&_nc_ht=instagram.fbcn15-1.fna&_nc_gid=CmZwXFojirTALIXoUXMO7A&_nc_ss=72a8c&oh=00_AQFcAVSBWAC55LkMefquTT5wtKObtalwB3dNssRwn3lsRg&oe=6A91FA14,https://www.instagram.com/p/DcKU22ApJ8k/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Skol Ou Antarctica 300ml,2.49,21/08/2026,https://instagram.fxap4-1.fna.fbcdn.net/v/t51.82787-15/780140079_18192045034391764_7683991793781918786_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODIxODA0ODc2ODI1MjE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=MnWLmv7izFEQ7kNvwE-eCc-&_nc_oc=AdqKht5W2R0I8k67jI7AsuyyWWxTtRw-e9ACS9VMBWR1sIb6wTIcVZPsbh4cMYgGFw8&_nc_zt=23&_nc_ht=instagram.fxap4-1.fna&_nc_gid=VZPB67okKU0e0ifowzVMWA&_nc_ss=72a8c&oh=00_AQHczTI5i8sJva23g6egbIopSplYbu73tBW58x_YqjBIcQ&oe=6A92052E,https://www.instagram.com/p/DcR8Up0IBkE/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Skol 300ml,2.49,22/08/2026,https://instagram.fhnd4-2.fna.fbcdn.net/v/t51.82787-15/781425562_18192143110391764_1116124836587707156_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODk1MTQ4MDU4NDU2NzM5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=FnigSYXdvhUQ7kNvwGXzknp&_nc_oc=Adps55DoKyqmrWdWQUTA7FYDHhwuGX5ODLDyh8zgmtqOKIUTt5g2BLPDmUgP7m66ncgYpvQuBS5XgB_kdc55Ke0F&_nc_zt=23&_nc_ht=instagram.fhnd4-2.fna&_nc_gid=v_FwtKEs20pddOedUtX__A&_nc_ss=7da8c&oh=00_AQGsR9bBGsAC7MHFTtBjjgEzYgQpiipyoaBw-VB2zTcdEA&oe=6A91DD60,https://www.instagram.com/p/DcUjFfbAPpn/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Antarctica 300ml,2.49,22/08/2026,https://instagram.fhnd4-2.fna.fbcdn.net/v/t51.82787-15/781425562_18192143110391764_1116124836587707156_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODk1MTQ4MDU4NDU2NzM5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=FnigSYXdvhUQ7kNvwGXzknp&_nc_oc=Adps55DoKyqmrWdWQUTA7FYDHhwuGX5ODLDyh8zgmtqOKIUTt5g2BLPDmUgP7m66ncgYpvQuBS5XgB_kdc55Ke0F&_nc_zt=23&_nc_ht=instagram.fhnd4-2.fna&_nc_gid=v_FwtKEs20pddOedUtX__A&_nc_ss=7da8c&oh=00_AQGsR9bBGsAC7MHFTtBjjgEzYgQpiipyoaBw-VB2zTcdEA&oe=6A91DD60,https://www.instagram.com/p/DcUjFfbAPpn/
