supermercado,categoria,item,valor,data_postagem,link,post_url
Bom Jesus Primavera do Leste 🛒,Bazar / Eletro,Copo Americano 190ml,1.49,31/08/2026,https://instagram.fper10-1.fna.fbcdn.net/v/t51.82787-15/790710770_18375397150237813_205032870738913895_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzk3NjAxNjAxODA0MzIzNjczOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=bEKxbBy2AZwQ7kNvwHO8Sld&_nc_oc=AdpiWw3afCzauTgOnr7CZqo6RrjWO7xzvi9wQyJB7smgHhRnAUcnufRIyV2PS38CSm8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fper10-1.fna&_nc_gid=f_Ac6QzwHuXD4P1h-TVMjQ&_nc_ss=7a22e&oh=00_AQKcIGxVKzoKCZsljPzfJbsKz-cmAUsbz6pdsoYWkgRUuA&oe=6A9CA6D6,https://www.instagram.com/p/DctpboPFJpU/
Bom Jesus Primavera do Leste 🛒,Bazar / Eletro,Copo Drink Aruba Cinza 475ml,7.49,28/08/2026,https://instagram.fagu3-1.fna.fbcdn.net/v/t51.82787-15/788860531_18374942995237813_624644092953609674_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=Mzk3Mzk3Nzc4MjEzMTM5MTcwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=mOHmscgEnGsQ7kNvwG0PQUn&_nc_oc=AdrnTvsOFFkNfnHfY75s1obDc4syPIbh38dwbw0-nRxvMcu5mBgdahDwtxkyaB2nM6O9DyZF_Ce2RoL-nnEYXLth&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fagu3-1.fna&_nc_gid=ub-F7Ju1QestHX_RMmDV3g&_nc_ss=7a22e&oh=00_AQLUCXvuPQW3Nq0qTBAt7t_Gwg-0uCGi7p0Nzj_WftC11w&oe=6A9CB28B,https://www.instagram.com/p/DcmZ8cDD400/
Machadão Atacadista,Bazar / Eletro,Lâmpada Led Kian 30w,8.99,01/09/2026,https://instagram.fpll8-2.fna.fbcdn.net/v/t39.30808-6/788717108_1363962009157090_7645430109379984108_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&_nc_map=urlgen_bucketless&ig_cache_key=Mzk3NjIxNDMzMjA1Njc3MzMzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=nXwqXMc37ZkQ7kNvwGVtGCO&_nc_oc=Adp7sfzCL-HUqgN8ZdvBh4rs5GY5ekMPP5vmR5OBqPXil3Pgd9fgZExeFNnR9hplXn3EvPl2-4HEP6XcATezetTB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fpll8-2.fna&_nc_gid=-TX4tDFJTAdeRK5XHn8t2g&_nc_ss=7a22e&oh=00_AQLR5HcCVU9xXTpmdmaRsvdUl9qkP5z4W1uTaAIOWPzu5A&oe=6A9CA2D3,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Lâmpada Led Kian 30w,8.99,01/09/2026,https://instagram.fpll8-1.fna.fbcdn.net/v/t39.30808-6/788880664_1363962219157069_5966186908781895719_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&_nc_map=urlgen_bucketless&ig_cache_key=Mzk3NjIxNDMzMDk4MzA0NjUzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=72ND--9jcv0Q7kNvwF0do42&_nc_oc=AdokRmfQYpSec-2ucIKH9kkeydArBu8cMnaC6TebBY3z2_slG7lJHFk5WYLBT4SZMOrknVFv7HLZQgBv_NkX-P-r&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fpll8-1.fna&_nc_gid=-TX4tDFJTAdeRK5XHn8t2g&_nc_ss=7a22e&oh=00_AQL22D_4fOEr93A62UmNnlDk4uo-vqACz7jfEudhOafeFA&oe=6A9CA88C,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Conjunto de Potes Sanremo 3un,15.99,01/09/2026,https://instagram.fpll8-2.fna.fbcdn.net/v/t39.30808-6/788717108_1363962009157090_7645430109379984108_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&_nc_map=urlgen_bucketless&ig_cache_key=Mzk3NjIxNDMzMjA1Njc3MzMzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=nXwqXMc37ZkQ7kNvwGVtGCO&_nc_oc=Adp7sfzCL-HUqgN8ZdvBh4rs5GY5ekMPP5vmR5OBqPXil3Pgd9fgZExeFNnR9hplXn3EvPl2-4HEP6XcATezetTB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fpll8-2.fna&_nc_gid=-TX4tDFJTAdeRK5XHn8t2g&_nc_ss=7a22e&oh=00_AQLR5HcCVU9xXTpmdmaRsvdUl9qkP5z4W1uTaAIOWPzu5A&oe=6A9CA2D3,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Conjunto de Potes Sanremo 3un,15.99,01/09/2026,https://instagram.fpll8-1.fna.fbcdn.net/v/t39.30808-6/788880664_1363962219157069_5966186908781895719_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&_nc_map=urlgen_bucketless&ig_cache_key=Mzk3NjIxNDMzMDk4MzA0NjUzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=72ND--9jcv0Q7kNvwF0do42&_nc_oc=AdokRmfQYpSec-2ucIKH9kkeydArBu8cMnaC6TebBY3z2_slG7lJHFk5WYLBT4SZMOrknVFv7HLZQgBv_NkX-P-r&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fpll8-1.fna&_nc_gid=-TX4tDFJTAdeRK5XHn8t2g&_nc_ss=7a22e&oh=00_AQL22D_4fOEr93A62UmNnlDk4uo-vqACz7jfEudhOafeFA&oe=6A9CA88C,https://www.instagram.com/p/DcuWeMKD352/
Super Compras Supermercado,Bazar / Eletro,Churrasqueira,599.99,29/08/2026,https://instagram.fmel14-1.fna.fbcdn.net/v/t51.82787-15/789652349_18192946324391764_294674980305459178_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzk3NDQxNzU0MDcwNDUzNTg2NDE4MTkyOTQ2MzE4MzkxNzY0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjk2MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Q9m0XXAZKRkQ7kNvwHa2WHh&_nc_oc=AdqqfARrHzqSuY5JC0EzYTL3JmD5QCFQCx68AuGqp5HrOgdY9jwW9yO3V7KgJENUVbg&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fmel14-1.fna&_nc_gid=YqvMEWoWOsFcIU_KBd2EyA&_nc_ss=7a22e&oh=00_AQIe65LCxj11FOgWvXzkMwYQ5ioqiIvPb21JA9zFTnIYiQ&oe=6A9CC1DD,https://www.instagram.com/p/Dcn97ImxoU4/
Supermercado São Pedro,Bebidas / Alcoólicos Diversos,Milho Verde Fugini 170g,3.29,31/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/790341028_1508698111303305_6101754768913825516_n.jpg?stp=c0.0.1638.2048a_dst-jpg_e35_s1638x2048_tt6&_nc_cat=107&ig_cache_key=Mzk3NjE3NTA3NTg4NzQ4NDk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=_1XwT5vLY4AQ7kNvwHKEz55&_nc_oc=Adqg5tBFfclFERhJFJbjOJm0oGg4YzR8WbUFIsLeQK-ahjCo0rYsScXgmbbDRpSjnk0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=Xge3-AgsJ78GQKpYxVY_lQ&_nc_ss=7a22e&oh=00_AQKXL2-oKmbRxlKMZdJZpNxkSAGu6i1Z_8Eo2z4fJvzj_A&oe=6A9CA427,https://www.instagram.com/p/DcuNi7YiX2_/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vodka Kislla 900ml,11.9,01/09/2026,https://instagram.fpll8-1.fna.fbcdn.net/v/t39.30808-6/788766900_1363961989157092_7149980708576029676_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&_nc_map=urlgen_bucketless&ig_cache_key=Mzk3NjIxNDMzMjMyNTE5OTQzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=2I1wZ8IpqpUQ7kNvwFAgb26&_nc_oc=AdptEXpzzvKedyOm0IUpup4aKTMN92VEbvGRKA1BQWFQpIbfA4AnOMdezqbxL5iUM5sqq0855oYZTILhNI3FLOd9&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fpll8-1.fna&_nc_gid=-TX4tDFJTAdeRK5XHn8t2g&_nc_ss=7a22e&oh=00_AQL4oPpPpXHmUGCJDgCXWpuhnYQzo2USkXGxU2RSNdNmDA&oe=6A9CACD0,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vodka Kislla 900ml,11.9,01/09/2026,https://instagram.fpll8-1.fna.fbcdn.net/v/t39.30808-6/790209214_1363962295823728_6184311664090934208_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&_nc_map=urlgen_bucketless&ig_cache_key=Mzk3NjIxNDMzMTA5MjA0NzE3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=6eOf0AaqPwYQ7kNvwGdrNBZ&_nc_oc=AdrkMFMywyb9xxhGsxNzUydNzBp5WuMm_tp9Q9arUp4u5wRasbwXJXeOCdibD8xtZu5fEQKYFg0j9ixZYO0h6cDW&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fpll8-1.fna&_nc_gid=-TX4tDFJTAdeRK5XHn8t2g&_nc_ss=7a22e&oh=00_AQK2ptsEy7z8d84W23PKqjoR4vKT_L03OqtRuC3I1SiyZA&oe=6A9CB5AE,https://www.instagram.com/p/DcuWeMKD352/
