supermercado,categoria,item,valor,data_postagem,link,post_url
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Cristóbal 750ml,35.9,27/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t39.30808-6/787798079_1360550486164909_1488167338527184913_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3MzE1NjQ3MjAzMzA0ODEyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=_YSRXBR_xEAQ7kNvwEPyA0R&_nc_oc=Adod8FBZ1VIwdo7XMEeAFyY3M_eABxg3PxcIYc9Sokz5CWOsNdRGgwkbWB9mxmyi3mY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=eaSov4kRguWIzndyEDFyGQ&_nc_ss=7a22e&oh=00_AQICQRsanDJxQLmHBBYmho3Rac6l9xK0buxZ-lp11p8Uww&oe=6A9A2815,https://www.instagram.com/p/DcjfMcbkgCV/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Facial Garnier Vitamina C 100ml,36.99,27/08/2026,https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=wXQuivYivwoQ7kNvwGqhBw9&_nc_oc=AdptQ5Ne8StUUqEKOJ7pFZaObcB-O8eXJgJlZpKLJuhIAZTFXSQGzsSb3LGYRveb9Wo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=LtGElKp89Sdbjkf-yI3g1Q&_nc_ss=7a22e&oh=00_AQIfP27gbFFkftCKyKyh3HkxXSwJLHwcHGi0vYzfKwJ5ng&oe=6A9A052E,https://www.instagram.com/p/DcivkuqOXSF/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Cabeza de Piedra 750ml,49.9,29/08/2026,https://instagram.fktw4-1.fna.fbcdn.net/v/t39.30808-6/788037845_1361504496069508_5961206056822063683_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzk3NDAzNDk3MDYxNjE1OTA4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=dkxjjGVbnS4Q7kNvwFadzFa&_nc_oc=AdqEAGU0KR5QSbEQbKQJTDugt7MnwEaUwJwR1PqkKXY6eXhNo2801H3dwVf8D0sCza0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fktw4-1.fna&_nc_gid=U3FqkMLv5y-ALyQYkbt5Mw&_nc_ss=7a22e&oh=00_AQLPML3ubnmRpXTxeRoksRCE1oOlsTiB_55oh1OxX0qC1g&oe=6A9A2B4A,https://www.instagram.com/p/Dcmm8QNDi4E/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Whisky White Horse 1L,84.9,28/08/2026,https://scontent-lhr11-1.cdninstagram.com/v/t51.82787-15/788139857_18374943016237813_6095318216715939563_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3Mzk3Nzc4MDcyMjI3NDY1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=u6RrkwcH62kQ7kNvwFPO8nO&_nc_oc=Adq7Ydwrj8L01LSreSo3Hr9nEBdt7EUEaeUJg7Tp-iPDdHy-rWuFw6haLQP_5O7ZiVLAswHo-taEhi6kZbtEtW7y&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_gid=UC3DCxA2tHR5SHtq_3JTew&_nc_ss=7a22e&oh=00_AQJ_o-NIim0oS-WiIsBW-WOgFnQ0bdqhL7zHvDWnHaNwqw&oe=6A9A0D70,https://www.instagram.com/p/DcmZ8cDD400/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Whisky Old Parr 12 Anos 1L,179.9,28/08/2026,https://scontent-lhr11-1.cdninstagram.com/v/t51.82787-15/788139857_18374943016237813_6095318216715939563_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3Mzk3Nzc4MDcyMjI3NDY1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=u6RrkwcH62kQ7kNvwFPO8nO&_nc_oc=Adq7Ydwrj8L01LSreSo3Hr9nEBdt7EUEaeUJg7Tp-iPDdHy-rWuFw6haLQP_5O7ZiVLAswHo-taEhi6kZbtEtW7y&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lhr11-1.cdninstagram.com&_nc_gid=UC3DCxA2tHR5SHtq_3JTew&_nc_ss=7a22e&oh=00_AQJ_o-NIim0oS-WiIsBW-WOgFnQ0bdqhL7zHvDWnHaNwqw&oe=6A9A0D70,https://www.instagram.com/p/DcmZ8cDD400/
Supermercado Tuiuiú,Bebidas / Cervejas,Cerveja Skol 300ml,2.49,28/08/2026,https://instagram.fbne11-1.fna.fbcdn.net/v/t39.30808-6/782169173_1720016753465476_6179349585647048120_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzk3MzM0Mjg3OTMwMjI3OTYzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI1NC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=qPA3dbH0piIQ7kNvwHoNSEp&_nc_oc=Adq_nGb8uncHX3EPYxwxLEFVUUDX-DvASXm_bqyFg9_f4VqBfYzzb1KO5OdakUlrkXBSOawd5JBcjrZRur1FwZrb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbne11-1.fna&_nc_gid=TyXdyDMvXWTfqtmX-TW3yw&_nc_ss=7a22e&oh=00_AQKyFJ588KSljxks8g2360ncdDgleGbw07M8z6q2cyooGg&oe=6A9A0CA1,https://www.instagram.com/p/DckJlYyI3Tu/
Supermercado Tuiuiú,Bebidas / Cervejas,Cerveja Brahma 300ml,2.49,28/08/2026,https://instagram.fbne11-1.fna.fbcdn.net/v/t39.30808-6/782169173_1720016753465476_6179349585647048120_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzk3MzM0Mjg3OTMwMjI3OTYzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTI1NC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=qPA3dbH0piIQ7kNvwHoNSEp&_nc_oc=Adq_nGb8uncHX3EPYxwxLEFVUUDX-DvASXm_bqyFg9_f4VqBfYzzb1KO5OdakUlrkXBSOawd5JBcjrZRur1FwZrb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbne11-1.fna&_nc_gid=TyXdyDMvXWTfqtmX-TW3yw&_nc_ss=7a22e&oh=00_AQKyFJ588KSljxks8g2360ncdDgleGbw07M8z6q2cyooGg&oe=6A9A0CA1,https://www.instagram.com/p/DckJlYyI3Tu/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Skol 300ml,2.49,29/08/2026,https://instagram.fmel16-1.fna.fbcdn.net/v/t51.82787-15/787666404_18192892456391764_5631571009347207340_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3NDAxMjM2OTYxNzUwODE0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=YdVhHFKNO3AQ7kNvwGFOvh9&_nc_oc=Adoz3sPeZfQyx-NJVo2CNkBXRXWSN8mZqMZ7kbZHRnhfaUDqwU7_-efp4JhbRQUrvE4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fmel16-1.fna&_nc_gid=0dsUxJDd5nGRr_VHaZPIKw&_nc_ss=7a22e&oh=00_AQKc5x6FtYbs8rhD4qlSSLaWCxV2Lq5SxXpP_DvRBWysLw&oe=6A9A1A1A,https://www.instagram.com/p/DcmhzwZjQj_/
Supermercado São Pedro,Bebidas / Cervejas,Cerveja Antarctica Original 300ml,2.69,28/08/2026,https://instagram.fmel12-1.fna.fbcdn.net/v/t51.82787-15/787853786_18195711469382122_4084613579796731411_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk3MzY3MjU2ODk4MzkzOTE2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=YRh7I8l8B0QQ7kNvwGdAJcX&_nc_oc=AdpPFrFVFOOLfktOFO-uBxNDS-W6HHpojk5Touou58S8jINtkZ1DNVomemzZYPg0FWdBLUkWaXwQ37rxr4WQSkGd&_nc_ad=z-m&_nc_cid=1032&_nc_zt=23&_nc_ht=instagram.fmel12-1.fna&_nc_gid=BrePjm_PQQaChn7TWqupaw&_nc_ss=7a22e&oh=00_AQIuOgNtKauL6mK0H-Z9C3rwj8WiGGPEmV8rOHCE4knopQ&oe=6A9A0007,https://www.instagram.com/p/DclUqI1G7TG/
Bom Jesus Primavera do Leste 🛒,Bebidas / Cervejas,Cerveja 350ml,3.99,28/08/2026,https://scontent-bos5-1.cdninstagram.com/v/t51.82787-15/790267944_18374939155237813_7891315416587241159_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzk3Mzk1NDM1MDYxMDMxNjkxNDE4Mzc0OTM5MTQ5MjM3ODEz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=9E6GZ8-Spo4Q7kNvwEleNv2&_nc_oc=AdqoPa4AvQb_O6t_R9Ipm1dquNTWti8nstzWpGCjMTLygKiLyygjx_SeAyaW_gGBlZxBBBRKU85CBrEK5pbjtJlW&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_gid=mEH-6SYxPTtoUyTuTOvxjg&_nc_ss=7a22e&oh=00_AQLfxC3JWQQVw7vLqXITTH_RT3qUKHgGvF9Wa1vBIvxS7g&oe=6A9A206D,https://www.instagram.com/p/DcmUm1Nvv5y/
