supermercado,categoria,item,valor,data_postagem,link,post_url
Supermercado Bianchi,Bazar / Eletro,Pote Vidro Nadir Mandacaru / Maracatu 2L,14.99,21/08/2026,https://scontent-yyz1-1.cdninstagram.com/v/t39.30808-6/782170702_1657849206345477_5831566733473110975_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk2ODk0NTQxMzExMjgxNzUxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=nPR0J7MpbqkQ7kNvwEzZDbd&_nc_oc=Adpry1jPlvmvV7LmOysUv_LLV-FhwGPWDm6Rg71oYFbsfnxKMCaabjnOktNcjUzgqa4&_nc_zt=23&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_gid=dY8EOS28NOwxEEhDuq8XVw&_nc_ss=7ca8c&oh=00_AQF-3Hwtj3T7Ih66se1e5vSAzuucm9zNOnyzT88McSTO4Q&oe=6A90F3F7,https://www.instagram.com/p/DcUhthogY_o/
Supermercado Bianchi,Bazar / Eletro,Ventilador Mondial Super Power 40cm 127V Uni,159.9,21/08/2026,https://scontent-yyz1-1.cdninstagram.com/v/t39.30808-6/782170702_1657849206345477_5831566733473110975_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk2ODk0NTQxMzExMjgxNzUxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=nPR0J7MpbqkQ7kNvwEzZDbd&_nc_oc=Adpry1jPlvmvV7LmOysUv_LLV-FhwGPWDm6Rg71oYFbsfnxKMCaabjnOktNcjUzgqa4&_nc_zt=23&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_gid=dY8EOS28NOwxEEhDuq8XVw&_nc_ss=7ca8c&oh=00_AQF-3Hwtj3T7Ih66se1e5vSAzuucm9zNOnyzT88McSTO4Q&oe=6A90F3F7,https://www.instagram.com/p/DcUhthogY_o/
Supermercado Bianchi,Bebidas / Alcoólicos Diversos,Vinho Português Casal Garcia 750ml,69.99,21/08/2026,https://scontent-yyz1-1.cdninstagram.com/v/t39.30808-6/782170702_1657849206345477_5831566733473110975_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk2ODk0NTQxMzExMjgxNzUxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=nPR0J7MpbqkQ7kNvwEzZDbd&_nc_oc=Adpry1jPlvmvV7LmOysUv_LLV-FhwGPWDm6Rg71oYFbsfnxKMCaabjnOktNcjUzgqa4&_nc_zt=23&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_gid=dY8EOS28NOwxEEhDuq8XVw&_nc_ss=7ca8c&oh=00_AQF-3Hwtj3T7Ih66se1e5vSAzuucm9zNOnyzT88McSTO4Q&oe=6A90F3F7,https://www.instagram.com/p/DcUhthogY_o/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Whisky White Horse 1L,84.9,21/08/2026,https://scontent-fra3-1.cdninstagram.com/v/t51.82787-15/779844446_18373759273237813_717042095228036520_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk2ODYwMzg2MjA2MzE4NjIyMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=m8__0j7aHxEQ7kNvwHQgQM1&_nc_oc=Adqqyzxf80dnGdfoMUDYLQ78auIhXgsQRmXFG1xjO8D1VrOcfIzrq0jKFCCJUO17l1k&_nc_zt=23&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_gid=F6S7ALtEyd_ZpDSi6b98wg&_nc_ss=7c689&oh=00_AQFiCdSVvzE-0y00eD8uLFeynPRShLQQTeh0LsTyhUq5yg&oe=6A90ED30,https://www.instagram.com/p/DcTUD7jlm8n/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Skol ou Antártctica Litrinho Retornável - 300ml,2.49,21/08/2026,https://instagram.fkix1-2.fna.fbcdn.net/v/t51.82787-15/780140079_18192045034391764_7683991793781918786_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODIxODA0ODc2ODI1MjE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=MnWLmv7izFEQ7kNvwHXigpa&_nc_oc=AdoUtff4aarrhcvw-vdfk-s13MRYCT4UgBveYp6TRaSiAZD6Vv8wX0aDxTyuLBOkhm5IgTCXkxKRdPNG7AyDfS7U&_nc_zt=23&_nc_ht=instagram.fkix1-2.fna&_nc_gid=0evyVvBYHSU_Cm4Iwk7vOg&_nc_ss=72689&oh=00_AQHGgjMqXbWr_LPI5_m7Ny1tjSUnuOJrNizw6mgVwGitfA&oe=6A90EBEE,https://www.instagram.com/p/DcR8Up0IBkE/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Skol Litrinho Retornável 300ml,2.49,22/08/2026,https://scontent-bcn1-1.cdninstagram.com/v/t51.82787-15/781425562_18192143110391764_1116124836587707156_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODk1MTQ4MDU4NDU2NzM5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=8hrJBMNPgMwQ7kNvwGnUvJT&_nc_oc=AdoYXp6jvZRcmSMGgqmF11k841hgU8gGUrOfeORSS__62St6UXnxn_bR0QriGzcVs-Y&_nc_zt=23&_nc_ht=scontent-bcn1-1.cdninstagram.com&_nc_gid=UupPG7b4DGODvN3vuiZpZQ&_nc_ss=7c689&oh=00_AQGFPth_49ZkwKhabICc3goRl2cNXRyeZKwTHgN8ZR1PEg&oe=6A90FC60,https://www.instagram.com/p/DcUjFfbAPpn/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Antarctica Litrinho Retornável 300ml,2.49,22/08/2026,https://scontent-bcn1-1.cdninstagram.com/v/t51.82787-15/781425562_18192143110391764_1116124836587707156_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODk1MTQ4MDU4NDU2NzM5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=8hrJBMNPgMwQ7kNvwGnUvJT&_nc_oc=AdoYXp6jvZRcmSMGgqmF11k841hgU8gGUrOfeORSS__62St6UXnxn_bR0QriGzcVs-Y&_nc_zt=23&_nc_ht=scontent-bcn1-1.cdninstagram.com&_nc_gid=UupPG7b4DGODvN3vuiZpZQ&_nc_ss=7c689&oh=00_AQGFPth_49ZkwKhabICc3goRl2cNXRyeZKwTHgN8ZR1PEg&oe=6A90FC60,https://www.instagram.com/p/DcUjFfbAPpn/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Original Retornável - Litrinho 300ml,2.69,21/08/2026,https://instagram.fkix1-2.fna.fbcdn.net/v/t51.82787-15/780140079_18192045034391764_7683991793781918786_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODIxODA0ODc2ODI1MjE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=MnWLmv7izFEQ7kNvwHXigpa&_nc_oc=AdoUtff4aarrhcvw-vdfk-s13MRYCT4UgBveYp6TRaSiAZD6Vv8wX0aDxTyuLBOkhm5IgTCXkxKRdPNG7AyDfS7U&_nc_zt=23&_nc_ht=instagram.fkix1-2.fna&_nc_gid=0evyVvBYHSU_Cm4Iwk7vOg&_nc_ss=72689&oh=00_AQHGgjMqXbWr_LPI5_m7Ny1tjSUnuOJrNizw6mgVwGitfA&oe=6A90EBEE,https://www.instagram.com/p/DcR8Up0IBkE/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Original Litrinho Retornável 300ml,2.69,22/08/2026,https://scontent-bcn1-1.cdninstagram.com/v/t51.82787-15/781425562_18192143110391764_1116124836587707156_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODk1MTQ4MDU4NDU2NzM5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=8hrJBMNPgMwQ7kNvwGnUvJT&_nc_oc=AdoYXp6jvZRcmSMGgqmF11k841hgU8gGUrOfeORSS__62St6UXnxn_bR0QriGzcVs-Y&_nc_zt=23&_nc_ht=scontent-bcn1-1.cdninstagram.com&_nc_gid=UupPG7b4DGODvN3vuiZpZQ&_nc_ss=7c689&oh=00_AQGFPth_49ZkwKhabICc3goRl2cNXRyeZKwTHgN8ZR1PEg&oe=6A90FC60,https://www.instagram.com/p/DcUjFfbAPpn/
Super Compras Supermercado,Bebidas / Cervejas,Milho Verde Quero Lata 170g,3.99,21/08/2026,https://instagram.fkix1-2.fna.fbcdn.net/v/t51.82787-15/780140079_18192045034391764_7683991793781918786_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODIxODA0ODc2ODI1MjE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=MnWLmv7izFEQ7kNvwHXigpa&_nc_oc=AdoUtff4aarrhcvw-vdfk-s13MRYCT4UgBveYp6TRaSiAZD6Vv8wX0aDxTyuLBOkhm5IgTCXkxKRdPNG7AyDfS7U&_nc_zt=23&_nc_ht=instagram.fkix1-2.fna&_nc_gid=0evyVvBYHSU_Cm4Iwk7vOg&_nc_ss=72689&oh=00_AQHGgjMqXbWr_LPI5_m7Ny1tjSUnuOJrNizw6mgVwGitfA&oe=6A90EBEE,https://www.instagram.com/p/DcR8Up0IBkE/
