supermercado,categoria,item,valor,data_postagem,link,post_url
Machadão Atacadista,Bazar / Eletro,Lâmpada Led Kian Bivolt 30w,8.99,01/09/2026,https://scontent-nrt1-1.cdninstagram.com/v/t39.30808-6/788880664_1363962219157069_5966186908781895719_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzk3NjIxNDMzMDk4MzA0NjUzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=mvMDjMZZ8K8Q7kNvwEr95Kf&_nc_oc=AdpDd4tA0FGceVhp6PR8JiduONuXuE_e5iHh01aOgqsRwj_0bEqtmY8pw24qpadXMieJMPV6oB0_GG5VO5FuiNxT&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQKuUJZtbhN0X2NwAD6KgYM3DH9Rh55mz5vlKwfOJi488A&oe=6AA1EE8C,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Lâmpada Led Kian Bivolt 30w,8.99,01/09/2026,https://scontent-nrt6-1.cdninstagram.com/v/t39.30808-6/788717108_1363962009157090_7645430109379984108_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzk3NjIxNDMzMjA1Njc3MzMzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=-JVLd9gM9c8Q7kNvwH5gmot&_nc_oc=Adqb4FV0BlK1UaHMCus6P03VTk3fWzLNWwoddj_shm66PKNSqSzdb4rPloipWa2Vbp4RZRtXsDYLCWY1BrPGKGuz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt6-1.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQJ9xeow80FEHLUxM18_QyBki3Gqqf429drZ9oeEnCGTaQ&oe=6AA1E8D3,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Lâmpada Led Kian 30w,8.99,01/09/2026,https://scontent-nrt6-1.cdninstagram.com/v/t39.30808-6/788953852_1363962525823705_7158709731603332512_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk3NjIxNDMzMDg3Mzk1MDI0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ydM-R8J21eIQ7kNvwEeklkt&_nc_oc=AdratrKY-tPFD-uUWliBbti6lQ0YnO7pxm-Nbe2psNN_nNby6Wz71gaZuPJDfOgPDtz1qMbSeo4YKHl-Ku7byIHN&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt6-1.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQKhDs3JBK6w4VaHXkSlKubO8OUe9oDY6yALrNKdkPxUJQ&oe=6AA1D51F,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Conjunto de Potes Sanremo 3un 800ml,15.99,01/09/2026,https://scontent-nrt1-1.cdninstagram.com/v/t39.30808-6/788880664_1363962219157069_5966186908781895719_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=Mzk3NjIxNDMzMDk4MzA0NjUzNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=mvMDjMZZ8K8Q7kNvwEr95Kf&_nc_oc=AdpDd4tA0FGceVhp6PR8JiduONuXuE_e5iHh01aOgqsRwj_0bEqtmY8pw24qpadXMieJMPV6oB0_GG5VO5FuiNxT&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQKuUJZtbhN0X2NwAD6KgYM3DH9Rh55mz5vlKwfOJi488A&oe=6AA1EE8C,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Conjunto de Potes Sanremo 800ml 3un,15.99,01/09/2026,https://scontent-nrt6-1.cdninstagram.com/v/t39.30808-6/788717108_1363962009157090_7645430109379984108_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzk3NjIxNDMzMjA1Njc3MzMzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=-JVLd9gM9c8Q7kNvwH5gmot&_nc_oc=Adqb4FV0BlK1UaHMCus6P03VTk3fWzLNWwoddj_shm66PKNSqSzdb4rPloipWa2Vbp4RZRtXsDYLCWY1BrPGKGuz&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt6-1.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQJ9xeow80FEHLUxM18_QyBki3Gqqf429drZ9oeEnCGTaQ&oe=6AA1E8D3,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bazar / Eletro,Conjunto de Potes Sanremo 3un,15.99,01/09/2026,https://scontent-nrt6-1.cdninstagram.com/v/t39.30808-6/788953852_1363962525823705_7158709731603332512_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk3NjIxNDMzMDg3Mzk1MDI0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ydM-R8J21eIQ7kNvwEeklkt&_nc_oc=AdratrKY-tPFD-uUWliBbti6lQ0YnO7pxm-Nbe2psNN_nNby6Wz71gaZuPJDfOgPDtz1qMbSeo4YKHl-Ku7byIHN&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt6-1.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQKhDs3JBK6w4VaHXkSlKubO8OUe9oDY6yALrNKdkPxUJQ&oe=6AA1D51F,https://www.instagram.com/p/DcuWeMKD352/
Supermercado São Pedro,Bebidas / Alcoólicos Diversos,Milho Verde Fugini 170g,3.29,31/08/2026,https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/790341028_1508698111303305_6101754768913825516_n.jpg?stp=c0.0.1638.2048a_dst-jpg_e35_s1638x2048_tt6&_nc_cat=107&ig_cache_key=Mzk3NjE3NTA3NTg4NzQ4NDk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=3okOtetE7JoQ7kNvwFdiYSP&_nc_oc=AdruwQ7RYBqChozifVRz-lMJD-lopf6VLGYXYqviECs5n_Yf7S4NqY4qnCB-8cUHNdcPwRRqiQckKVeXe3RFXJHo&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_gid=KkV6WRYKP9_jb-i1Y8eKbw&_nc_ss=7a22e&oh=00_AQIbehEPo8vK43UkYPz3nnVbRk2WiJCkkzL5cl6w11xvjQ&oe=6AA1EA27,https://www.instagram.com/p/DcuNi7YiX2_/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vodka Kislla 900ml,11.9,01/09/2026,https://scontent-nrt1-2.cdninstagram.com/v/t39.30808-6/789618270_1363962609157030_3615491432982247221_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk3NjIxNDMzMTkzMDk1NjQzNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=LWeQr5ZiUMIQ7kNvwG2EpOW&_nc_oc=AdqTmKj8gPcVQGDJZvbSQiS2g1MfVx7gs5N1SmrN0Cw7uV-z_YRJMK5F8nupD-pCr3qX79cSlQC3hL_FWrV1uvSB&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQKhWRg444QWKGhs6d-h3vLo8t6ZNiKq99X21URU7yJzWA&oe=6AA1F626,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vodka Kislla 900ml,11.9,01/09/2026,https://scontent-nrt6-1.cdninstagram.com/v/t39.30808-6/788766900_1363961989157092_7149980708576029676_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=Mzk3NjIxNDMzMjMyNTE5OTQzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=vw1LTHI3qF8Q7kNvwEXrSdJ&_nc_oc=AdoyvIq8FIBaRiGmwYlE2xtd86PIXoiFhZ0oX0Wl4h4RfvbrnNi6fAr5hFcGVpJYpVVFueZx_lm-HUYteN507Tn8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt6-1.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQJgxbXvmanVRNfMygUeg_ZwlDCNW-deQSdj1C1RXnxF_Q&oe=6AA1F2D0,https://www.instagram.com/p/DcuWeMKD352/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vodka Kislla 900ml,11.9,01/09/2026,https://scontent-nrt1-2.cdninstagram.com/v/t39.30808-6/790209214_1363962295823728_6184311664090934208_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk3NjIxNDMzMTA5MjA0NzE3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=RBvtfYik74QQ7kNvwHZ03vk&_nc_oc=Adplqmx-VaY-bWG92HbQ3dr7yppIyRkEnutrUSHhupZEDzy1Uhl6Fx7VZCzV4KisBE4zetbu-VhHS7hEC9kXw0Hs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_gid=lAGGb0982PGD7jUIo2QSQQ&_nc_ss=7a22e&oh=00_AQLYlzQw4d8rU8cIUjYZf1dqWSkrD5iPGFARWMM2Nk0o1A&oe=6AA1FBAE,https://www.instagram.com/p/DcuWeMKD352/
