supermercado,categoria,item,valor,data_postagem,link,post_url
Supermercado São Pedro,Bebidas / Alcoólicos Diversos,Milho Verde Fugini 170g,3.29,31/08/2026,https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/790341028_1508698111303305_6101754768913825516_n.jpg?stp=c0.0.1638.2048a_dst-jpg_e35_s1638x2048_tt6&_nc_cat=107&ig_cache_key=Mzk3NjE3NTA3NTg4NzQ4NDk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=3okOtetE7JoQ7kNvwHGwXBk&_nc_oc=AdqeSxT5kE3rFEOMi7-YN1yuLdpL5xJsPPu11Pc2CINK1LsOw-xFjJW925AuBZyeTVeXA0jedfrTjBhduOjZE6UA&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=8zJsSQ99jKbPuQyWDjwUag&_nc_ss=7a22e&oh=00_AQInuPYdyY17rMEkFKuPyE7z4TNXKO9r9Y11F9MzXZMbMQ&oe=6AA098A7,https://www.instagram.com/p/DcuNi7YiX2_/
Supermercado São Pedro,Bebidas / Alcoólicos Diversos,Espumante Aurora Moscatel Branco 750ml,42.99,31/08/2026,https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/790651262_1508698107969972_5998080027560533600_n.jpg?stp=c0.0.1638.2048a_dst-jpg_e35_s1638x2048_tt6&_nc_cat=100&ig_cache_key=Mzk3NjE3NTA3NTkzNzgyODUwNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=oxBXcFaL888Q7kNvwHEYKt3&_nc_oc=AdrFkBQWqbFnDjKA0e4rOxbt1AvJOHwNUftvlfOhtjQUqAWWH-C7ZUiZWFAUK3K_9gjJ_7pGjVduUE9BVfDsSTlL&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=8zJsSQ99jKbPuQyWDjwUag&_nc_ss=7a22e&oh=00_AQI4bD6n7OOHtfIk9hxXshosARLJ-6zWtujAuhQYsNZA9A&oe=6AA084C9,https://www.instagram.com/p/DcuNi7YiX2_/
Supermercado São Pedro,Bebidas / Cervejas,Achocolatado Pirakids 200ml,1.49,31/08/2026,https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/790341028_1508698111303305_6101754768913825516_n.jpg?stp=c0.0.1638.2048a_dst-jpg_e35_s1638x2048_tt6&_nc_cat=107&ig_cache_key=Mzk3NjE3NTA3NTg4NzQ4NDk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=3okOtetE7JoQ7kNvwHGwXBk&_nc_oc=AdqeSxT5kE3rFEOMi7-YN1yuLdpL5xJsPPu11Pc2CINK1LsOw-xFjJW925AuBZyeTVeXA0jedfrTjBhduOjZE6UA&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=8zJsSQ99jKbPuQyWDjwUag&_nc_ss=7a22e&oh=00_AQInuPYdyY17rMEkFKuPyE7z4TNXKO9r9Y11F9MzXZMbMQ&oe=6AA098A7,https://www.instagram.com/p/DcuNi7YiX2_/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Brahma Retornável 300ml,2.49,03/09/2026,https://instagram.ftls1-1.fna.fbcdn.net/v/t51.82787-15/792053703_18193426588391764_4096902630104938508_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk3NzYzNTQxMjMzMjA4NDUzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=-AUFiMQb1OoQ7kNvwGsLw-4&_nc_oc=AdoZdPOHZqxz-p8SGdeexmxNgQyCRXTLH5mfdocLd3szeN71DpLhomxJHCFO_GO-4R8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftls1-1.fna&_nc_gid=7csfsUKuVDLcuOQCLIgMUA&_nc_ss=7a22e&oh=00_AQJ_Q_awmk0OEeZbP51zQR6fN9VGZXRLJ9I1g5P0XSOdTQ&oe=6AA0B74E,https://www.instagram.com/p/DczZl6tlIWo/
Supermercado São Pedro,Bebidas / Cervejas,Cerveja Amstel Ultra 275ml,5.19,31/08/2026,https://scontent-ord5-1.cdninstagram.com/v/t39.30808-6/790756054_1508698114636638_6053247548143654318_n.jpg?stp=c0.0.1638.2048a_dst-jpg_e35_s1638x2048_tt6&_nc_cat=109&ig_cache_key=Mzk3NjE3NTA3NTM3NTgzNTQzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=BeNfpyiWpaAQ7kNvwHdvss-&_nc_oc=Adof6ck7GZqpdX__j2nfm0EsMD2UBkJzrrtzfkU4ca5KIUn1HDdCTgY5rlXmwdnYkyzOYj0XrN7ODMqTU8KnjFap&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_gid=8zJsSQ99jKbPuQyWDjwUag&_nc_ss=7a22e&oh=00_AQLObuDZ_oLqEpG7xzzBFzxpzH0WAC9c6VZi4rQMt7iHMQ&oe=6AA0A0B9,https://www.instagram.com/p/DcuNi7YiX2_/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Budweiser 330ml,5.69,03/09/2026,https://instagram.ftls1-1.fna.fbcdn.net/v/t51.82787-15/792053703_18193426588391764_4096902630104938508_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk3NzYzNTQxMjMzMjA4NDUzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=-AUFiMQb1OoQ7kNvwGsLw-4&_nc_oc=AdoZdPOHZqxz-p8SGdeexmxNgQyCRXTLH5mfdocLd3szeN71DpLhomxJHCFO_GO-4R8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftls1-1.fna&_nc_gid=7csfsUKuVDLcuOQCLIgMUA&_nc_ss=7a22e&oh=00_AQJ_Q_awmk0OEeZbP51zQR6fN9VGZXRLJ9I1g5P0XSOdTQ&oe=6AA0B74E,https://www.instagram.com/p/DczZl6tlIWo/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Corona 330ml,6.99,03/09/2026,https://instagram.ftls1-1.fna.fbcdn.net/v/t51.82787-15/792053703_18193426588391764_4096902630104938508_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzk3NzYzNTQxMjMzMjA4NDUzMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=-AUFiMQb1OoQ7kNvwGsLw-4&_nc_oc=AdoZdPOHZqxz-p8SGdeexmxNgQyCRXTLH5mfdocLd3szeN71DpLhomxJHCFO_GO-4R8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftls1-1.fna&_nc_gid=7csfsUKuVDLcuOQCLIgMUA&_nc_ss=7a22e&oh=00_AQJ_Q_awmk0OEeZbP51zQR6fN9VGZXRLJ9I1g5P0XSOdTQ&oe=6AA0B74E,https://www.instagram.com/p/DczZl6tlIWo/
Supermercado Tuiuiú,Bebidas / Cervejas,Guaraná Antarctica 2L,7.99,01/09/2026,https://scontent-dus1-1.cdninstagram.com/v/t51.82787-15/791624359_18583372411067900_7913942695836634888_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=Mzk3NjkyOTE4MDM4OTQ5OTYzMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=jhhPqh_BfNMQ7kNvwEUnql8&_nc_oc=Adr_koFPHY980QHrxFJSvwCVmb2m5FXAYRxfc2GVuHj9c6vYvI-GD-O1_DkiN_Vr10YlUNfL7fFZWl9W9Fv9qRK0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-dus1-1.cdninstagram.com&_nc_gid=ppUv2AVYBLXJJwItyjB7eA&_nc_ss=7a22e&oh=00_AQL0scphKuI8YbX0aGZFzjP31YoHE6xvCKRNqopTfCd0wg&oe=6AA0B861,https://www.instagram.com/p/Dcw5ArimFPm/
Supermercado São Pedro,Bebidas / Cervejas,Achocolatado Toddy 300g,7.99,31/08/2026,https://scontent-ord5-2.cdninstagram.com/v/t39.30808-6/790341028_1508698111303305_6101754768913825516_n.jpg?stp=c0.0.1638.2048a_dst-jpg_e35_s1638x2048_tt6&_nc_cat=107&ig_cache_key=Mzk3NjE3NTA3NTg4NzQ4NDk5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOS5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=3okOtetE7JoQ7kNvwHGwXBk&_nc_oc=AdqeSxT5kE3rFEOMi7-YN1yuLdpL5xJsPPu11Pc2CINK1LsOw-xFjJW925AuBZyeTVeXA0jedfrTjBhduOjZE6UA&_nc_ad=z-m&_nc_cid=1087&_nc_zt=23&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_gid=8zJsSQ99jKbPuQyWDjwUag&_nc_ss=7a22e&oh=00_AQInuPYdyY17rMEkFKuPyE7z4TNXKO9r9Y11F9MzXZMbMQ&oe=6AA098A7,https://www.instagram.com/p/DcuNi7YiX2_/
Supermercado Tuiuiú,Bebidas / Cervejas,Achocolatado Toddy 750g,15.99,02/09/2026,https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/792157898_18583652440067900_5431933029132674723_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzk3NzY1NDAwMjM4NDcxMTU2Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=oZgvBw2DbvkQ7kNvwESZzsW&_nc_oc=AdrBk4b7rJXJryZ9o4RM7lrMm4VTHrCcW303D016dggk9FDJ5-VE3AhMOjH2kYhTeoQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&_nc_gid=1JG5_kC-xVnuMJsmS-GXLw&_nc_ss=7a22e&oh=00_AQIDIWOI2umubyQlGiXHZ9qm155i27PItz8qjRfESnvvgw&oe=6AA0AE3E,https://www.instagram.com/p/Dczd0LlkeC6/
