supermercado,categoria,item,valor,data_postagem,link,post_url
Machadão Atacadista,Bazar / Eletro,Pote Tramontina Mix Color 600ml,10.9,27/08/2026,https://instagram.fyto2-1.fna.fbcdn.net/v/t39.30808-6/786141071_1360550506164907_1343288441209680541_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MjAxNjIzNDQ4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=aMK5GLv5FBcQ7kNvwEDMxh0&_nc_oc=AdpWuxL4VLkbZ6DZN4-vuIq-jU9vlST0z0KDqlNXDoTt1WlcYsRB4fwhiJICSYvj0xw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fyto2-1.fna&_nc_gid=IXal9zDDXfZ0GyqCGxQXgg&_nc_ss=7a22e&oh=00_AQHbXvyWTmBTgINHFv510Kl1nd7qoQ2vyD-goSfn6iagJA&oe=6A9682F9,https://www.instagram.com/p/DcjfMcbkgCV/
Super Compras Supermercado,Bebidas / Alcoólicos Diversos,Molho de Tomate Fugini 300g,1.59,27/08/2026,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/788172202_18192669184391764_5816935157600731829_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=Mzk3MjU2Mjg0NTk4OTQwNjA0Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=6V6MUSXxtWEQ7kNvwEiX9Iy&_nc_oc=AdrQCKzt2IP-ocFF-FbaYs3Q4kwNC6iyh3WBRnpuYUxZJFYGurB5QVHUAv2UKzzbNhLZr8L5iiVMZ__Z0GwnMa4v&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=_6Bjz1Qe-apFUvGe8-R7zg&_nc_ss=7a22e&oh=00_AQHDedMdFifYxvYbiz35fID0ZSN6roivKw5gK-ObWEzJCw&oe=6A9672A8,https://www.instagram.com/p/DchYNxjHQVb/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Molho de Tomate Fugini 1.02kg,7.49,27/08/2026,https://instagram.fyto2-1.fna.fbcdn.net/v/t39.30808-6/787798079_1360550486164909_1488167338527184913_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3MzE1NjQ3MjAzMzA0ODEyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=_YSRXBR_xEAQ7kNvwGz-Jto&_nc_oc=AdpLlJzkYRevw0CSLWuqB-KI2jK2tnW7KUxNYwMqDutU8aJJamvN2PScwwK8KVSNNW0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fyto2-1.fna&_nc_gid=IXal9zDDXfZ0GyqCGxQXgg&_nc_ss=7a22e&oh=00_AQFOWvfPu9eQQSbEeGxpEzc_ICisAWZEBaBd3B4eIkUSZg&oe=6A966BD5,https://www.instagram.com/p/DcjfMcbkgCV/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Molho de Tomate Fugini 1.02kg,7.49,27/08/2026,https://instagram.fyto2-1.fna.fbcdn.net/v/t39.30808-6/787104328_1360550532831571_2281243341389434448_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MTc1NjIxMzA2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=Y9MsBJNTALEQ7kNvwGWInLu&_nc_oc=AdpddtOg1iPztqTH7eT-YWFaB54UHVZOR9Da1l8Mt7vhLBC-6BjRzHEH7wd_T0diJ_k&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fyto2-1.fna&_nc_gid=IXal9zDDXfZ0GyqCGxQXgg&_nc_ss=7a22e&oh=00_AQG49cO8fhv8rCMyE6ScwuXA1ai2xKhoND925OUDpDHoLQ&oe=6A967010,https://www.instagram.com/p/DcjfMcbkgCV/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum de Tratamento Dove Bond Intense Repair Glow 110ml,29.9,27/08/2026,https://instagram.fadl5-1.fna.fbcdn.net/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TDgSfUoaAVwQ7kNvwEpJglj&_nc_oc=Adqu2KqnSf50G7TDxOquJ2uamr8oO9jzHi_BQy2aFOqyIb5SSEpi_QgfU5z94oW6Unw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fadl5-1.fna&_nc_gid=zss7cGQMVjPM9PMJWPayKQ&_nc_ss=7a22e&oh=00_AQH6uxTgwUTWP_uXSgSbjVJi8nei0-SRcac-_DjyWODW4Q&oe=6A96812E,https://www.instagram.com/p/DcivkuqOXSF/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Elseve Colágeno Lifter Liso dos Sonhos 100ml,29.99,27/08/2026,https://instagram.fadl5-1.fna.fbcdn.net/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TDgSfUoaAVwQ7kNvwEpJglj&_nc_oc=Adqu2KqnSf50G7TDxOquJ2uamr8oO9jzHi_BQy2aFOqyIb5SSEpi_QgfU5z94oW6Unw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fadl5-1.fna&_nc_gid=zss7cGQMVjPM9PMJWPayKQ&_nc_ss=7a22e&oh=00_AQH6uxTgwUTWP_uXSgSbjVJi8nei0-SRcac-_DjyWODW4Q&oe=6A96812E,https://www.instagram.com/p/DcivkuqOXSF/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Cristóbal 750ml,35.9,27/08/2026,https://instagram.fyto2-1.fna.fbcdn.net/v/t39.30808-6/787798079_1360550486164909_1488167338527184913_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=Mzk3MzE1NjQ3MjAzMzA0ODEyMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=_YSRXBR_xEAQ7kNvwGz-Jto&_nc_oc=AdpLlJzkYRevw0CSLWuqB-KI2jK2tnW7KUxNYwMqDutU8aJJamvN2PScwwK8KVSNNW0&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fyto2-1.fna&_nc_gid=IXal9zDDXfZ0GyqCGxQXgg&_nc_ss=7a22e&oh=00_AQFOWvfPu9eQQSbEeGxpEzc_ICisAWZEBaBd3B4eIkUSZg&oe=6A966BD5,https://www.instagram.com/p/DcjfMcbkgCV/
Machadão Atacadista,Bebidas / Alcoólicos Diversos,Vinho Cristóbal 750ml,35.9,27/08/2026,https://instagram.fyto2-1.fna.fbcdn.net/v/t39.30808-6/787104328_1360550532831571_2281243341389434448_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ig_cache_key=Mzk3MzE1NjQ3MTc1NjIxMzA2MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTYzOC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=Y9MsBJNTALEQ7kNvwGWInLu&_nc_oc=AdpddtOg1iPztqTH7eT-YWFaB54UHVZOR9Da1l8Mt7vhLBC-6BjRzHEH7wd_T0diJ_k&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fyto2-1.fna&_nc_gid=IXal9zDDXfZ0GyqCGxQXgg&_nc_ss=7a22e&oh=00_AQG49cO8fhv8rCMyE6ScwuXA1ai2xKhoND925OUDpDHoLQ&oe=6A967010,https://www.instagram.com/p/DcjfMcbkgCV/
Bom Jesus Primavera do Leste 🛒,Bebidas / Alcoólicos Diversos,Sérum Facial Garnier Vitamina C 100ml,36.99,27/08/2026,https://instagram.fadl5-1.fna.fbcdn.net/v/t51.82787-15/787993259_18374687005237813_4471412213431393234_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk3Mjk0NzA1MzQ4MTkxNTUyNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTM1MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=TDgSfUoaAVwQ7kNvwEpJglj&_nc_oc=Adqu2KqnSf50G7TDxOquJ2uamr8oO9jzHi_BQy2aFOqyIb5SSEpi_QgfU5z94oW6Unw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fadl5-1.fna&_nc_gid=zss7cGQMVjPM9PMJWPayKQ&_nc_ss=7a22e&oh=00_AQH6uxTgwUTWP_uXSgSbjVJi8nei0-SRcac-_DjyWODW4Q&oe=6A96812E,https://www.instagram.com/p/DcivkuqOXSF/
Super Compras Supermercado,Bebidas / Cervejas,Cerveja Skol Ou Antarctica Retornável 300ml,2.49,21/08/2026,https://instagram.ftgz2-1.fna.fbcdn.net/v/t51.82787-15/780140079_18192045034391764_7683991793781918786_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ig_cache_key=Mzk2ODIxODA0ODc2ODI1MjE2NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=Su6wo4o_AAEQ7kNvwHKsvI3&_nc_oc=AdqHpQCsDBNaEZ5-X3EB8Zab-Osn52r0xSN9LEgOV7g7pquqHCd3QeJEZZEJGdA8DBdiiAxREbsS1CzcBJWTbAD1&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ftgz2-1.fna&_nc_gid=oHv5kAUjL6YyUqpH14-hmg&_nc_ss=7a22e&oh=00_AQEbsXV5g3m3qWtjHn92eEIkWanBuU9SlaCt1suJ0gW0tA&oe=6A966A2E,https://www.instagram.com/p/DcR8Up0IBkE/
